company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ARGO AI,Reported,SF BAY AREA,Reported,TRANSPORTATION,Reported,259,Reported,0,missing,01/11/2022,Reported,2022,Reported,11,Reported,UNKNOWN,UNITED STATES,3600,Reported
ARGYLE,Reported,NEW YORK CITY,Reported,FINANCE,Reported,20,Reported,0.07,Reported,26/08/2022,Reported,2022,Reported,8,Reported,SERIES B,UNITED STATES,78,Reported
ARMIS,Reported,SF BAY AREA,Reported,SECURITY,Reported,25,Reported,0.04,Reported,08/12/2022,Reported,2022,Reported,12,Reported,PRIVATE EQUITY,UNITED STATES,537,Reported
ARRIVAL,Reported,LONDON,Reported,TRANSPORTATION,Reported,0,missing,0,missing,20/10/2022,Reported,2022,Reported,10,Reported,POST-IPO,UNITED KINGDOM,629,Reported
ARRIVAL,Reported,LONDON,Reported,TRANSPORTATION,Reported,0,missing,0.3,Reported,13/07/2022,Reported,2022,Reported,7,Reported,POST-IPO,UNITED KINGDOM,629,Reported
ARRIVAL,Reported,LONDON,Reported,TRANSPORTATION,Reported,800,Reported,0.5,Reported,30/01/2023,Reported,2023,Reported,1,Reported,POST-IPO,UNITED KINGDOM,629,Reported
ARRIVE LOGISTICS,Reported,AUSTIN,Reported,LOGISTICS,Reported,75,Reported,0.07,Reported,03/04/2020,Reported,2020,Reported,4,Reported,SERIES B,UNITED STATES,35,Reported
ARTICLE,Reported,VANCOUVER,Reported,RETAIL,Reported,216,Reported,0.17,Reported,04/08/2022,Reported,2022,Reported,8,Reported,SERIES B,CANADA,0,missing
ARTICULATE,Reported,NEW YORK CITY,Reported,EDUCATION,Reported,38,Reported,0,missing,02/02/2023,Reported,2023,Reported,2,Reported,SERIES A,UNITED STATES,1500,Reported
ARTNIGHT,Reported,BERLIN,Reported,RETAIL,Reported,26,Reported,0.36,Reported,31/08/2022,Reported,2022,Reported,8,Reported,UNKNOWN,GERMANY,0,missing
